source_page,site_domain,page_type,fit_score,our_replacement,subject,body,status
https://vidiq.com/free-youtube-tools/,vidiq.com,tool-list,95,https://yt-seo-architect.vercel.app/tools/tag-generator,Free YouTube SEO tool — worth a spot in your YouTube tools list?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube tools list at https://vidiq.com/free-youtube-tools/ and noticed you feature YouTube SEO tools. If you're still adding to the list, our Tag Generator would fit your readers perfectly:

https://yt-seo-architect.vercel.app/tools/tag-generator

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
https://contentmavericks.com/best-youtube-seo-tools/,contentmavericks.com,roundup,92,https://yt-seo-architect.vercel.app/tools/tag-generator,Free YouTube SEO tool — worth a spot in your YouTube SEO tools roundup?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube SEO tools roundup at https://contentmavericks.com/best-youtube-seo-tools/ and noticed you feature YouTube SEO tools. If you're still adding to the list, our Tag Generator would fit your readers perfectly:

https://yt-seo-architect.vercel.app/tools/tag-generator

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
https://influencermarketinghub.com/youtube-seo-tools/,influencermarketinghub.com,roundup,90,https://yt-seo-architect.vercel.app/blog,Free YouTube SEO tool — worth a spot in your YouTube SEO tools roundup?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube SEO tools roundup at https://influencermarketinghub.com/youtube-seo-tools/ and noticed you feature YouTube SEO tools. If you're still adding to the list, our Blog would fit your readers perfectly:

https://yt-seo-architect.vercel.app/blog

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
https://wbcomdesigns.com/best-vidiq-similar-software-for-free/,wbcomdesigns.com,alt-page,90,https://yt-seo-architect.vercel.app/tools/tag-generator,Free alternative for your wbcomdesigns.com coverage,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. I noticed your vidIQ/TubeBuddy alternatives page at https://wbcomdesigns.com/best-vidiq-similar-software-for-free/ discusses YouTube tooling, and wanted to flag a free option your readers would appreciate: our Tag Generator is free, unlimited, and needs no signup.

https://yt-seo-architect.vercel.app/tools/tag-generator

If it's a fit for your page, we'd be glad to support the listing with a screenshot or a short description. Thanks for the work you do!

Best,
YT SEO Architect Team",draft
https://alanspicer.com/vidiq-alternatives-2026/,alanspicer.com,alt-page,88,https://yt-seo-architect.vercel.app/tools/tag-generator,Free alternative for your alanspicer.com coverage,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. I noticed your vidIQ/TubeBuddy alternatives page at https://alanspicer.com/vidiq-alternatives-2026/ discusses YouTube tooling, and wanted to flag a free option your readers would appreciate: our Tag Generator is free, unlimited, and needs no signup.

https://yt-seo-architect.vercel.app/tools/tag-generator

If it's a fit for your page, we'd be glad to support the listing with a screenshot or a short description. Thanks for the work you do!

Best,
YT SEO Architect Team",draft
https://thedigitalmerchant.com/best-tubebuddy-alternatives/,thedigitalmerchant.com,alt-page,88,https://yt-seo-architect.vercel.app/tools/tag-generator,Free alternative for your thedigitalmerchant.com coverage,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. I noticed your vidIQ/TubeBuddy alternatives page at https://thedigitalmerchant.com/best-tubebuddy-alternatives/ discusses YouTube tooling, and wanted to flag a free option your readers would appreciate: our Tag Generator is free, unlimited, and needs no signup.

https://yt-seo-architect.vercel.app/tools/tag-generator

If it's a fit for your page, we'd be glad to support the listing with a screenshot or a short description. Thanks for the work you do!

Best,
YT SEO Architect Team",draft
https://startupvortex.com/best-tubebuddy-alternatives/,startupvortex.com,alt-page,88,https://yt-seo-architect.vercel.app/tools/tag-generator,Free alternative for your startupvortex.com coverage,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. I noticed your vidIQ/TubeBuddy alternatives page at https://startupvortex.com/best-tubebuddy-alternatives/ discusses YouTube tooling, and wanted to flag a free option your readers would appreciate: our Tag Generator is free, unlimited, and needs no signup.

https://yt-seo-architect.vercel.app/tools/tag-generator

If it's a fit for your page, we'd be glad to support the listing with a screenshot or a short description. Thanks for the work you do!

Best,
YT SEO Architect Team",draft
https://www.socialpilot.co/youtube-tools,socialpilot.co,tool-list,85,https://yt-seo-architect.vercel.app/tools/tag-generator,Free YouTube SEO tool — worth a spot in your YouTube tools list?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube tools list at https://www.socialpilot.co/youtube-tools and noticed you feature YouTube SEO tools. If you're still adding to the list, our Tag Generator would fit your readers perfectly:

https://yt-seo-architect.vercel.app/tools/tag-generator

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
https://syscality.com/best-seo-tools-for-youtube/,syscality.com,roundup,85,https://yt-seo-architect.vercel.app/tools/tag-generator,Free YouTube SEO tool — worth a spot in your YouTube SEO tools roundup?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube SEO tools roundup at https://syscality.com/best-seo-tools-for-youtube/ and noticed you feature YouTube SEO tools. If you're still adding to the list, our Tag Generator would fit your readers perfectly:

https://yt-seo-architect.vercel.app/tools/tag-generator

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
https://rankxdigital.com/blog/youtube-seo-tools/,rankxdigital.com,roundup,85,https://yt-seo-architect.vercel.app/tools/tag-generator,Free YouTube SEO tool — worth a spot in your YouTube SEO tools roundup?,"Hi there,

I run YT SEO Architect (https://yt-seo-architect.vercel.app), a free toolkit for YouTube creators. We built genuinely useful free tools — a YouTube tag generator, keyword researcher, and channel audit — all unlimited and free, no signup, no credit card.

I came across your YouTube SEO tools roundup at https://rankxdigital.com/blog/youtube-seo-tools/ and noticed you feature YouTube SEO tools. If you're still adding to the list, our Tag Generator would fit your readers perfectly:

https://yt-seo-architect.vercel.app/tools/tag-generator

Suggested one-liner:
""YT SEO Architect — free, unlimited YouTube tag generator and keyword tools (no signup).""

Happy to send a screenshot or answer anything. Thanks for the great resource!

Best,
YT SEO Architect Team",draft
